_skip,.group.element.code,,,,.group.element.target.code,.group.element.target.display,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,142,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,142,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:Yes __ TobaccoUse:Quit,,141,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,140,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,140,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,139,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit __ TobaccoUseInYears:+,,139,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+,,139,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,139,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked",,139,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,138,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,138,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,138,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,138,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,137,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,137,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes",,136,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Never,,136,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Never,,136,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Yes,,135,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,134,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Unknown If Ever Smoked __ Snuff:No __ TobaccoUse:Not Asked,,134,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,133,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,133,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,133,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,132,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Yes,,131,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,131,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,131,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,130,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,129,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes",,128,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,128,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,127,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,127,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0",,127,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,126,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,124,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,124,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,124,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,124,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,123,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,123,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,122,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:0,,122,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,122,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,121,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,121,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,121,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:0,,120,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,120,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,120,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,119,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUse:Yes,,119,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0",,119,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Quit,,119,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, in remission __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,116,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit,,116,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,113,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,113,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Not Asked,,113,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,113,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,113,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,112,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,112,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Passive,,111,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,110,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,110,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,110,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit,,110,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ Tobacco use __ TobaccoUse:Never",,109,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Not Asked,,109,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+,,108,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,107,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ Tobacco use __ TobaccoUse:Yes,,106,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit",,105,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,104,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,104,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,103,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,103,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Passive,,103,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,101,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,100,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Not Asked,,100,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,99,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,99,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Not Asked,,99,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,99,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,98,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,98,,,,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,98,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Quit __ TobaccoUseInYears:+,,97,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,97,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,97,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,97,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,97,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,97,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Yes,,96,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,95,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,95,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,95,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,95,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit",,95,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit,,94,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes",,94,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,94,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,94,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,94,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,93,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,92,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,92,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,91,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Yes __ TobaccoUseInYears:+,,91,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:Yes __ TobaccoUse:Passive,,91,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUse:Quit,,91,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit,,91,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,90,,,,,,,,
x,"Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,90,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,90,,,,,,,,
